id,title,description,goal,elements,category,difficulty,url
5d9445ba8c76cf38f71b6102,움직이고 말하는 프로그램,칠판 앞에서 친구들에게 인사하는 전학생 엔트리봇,"엔트리의 기본 사용법을 알고, 간단한 이야기 장면을 꾸밀 수 있습니다.","[""움직이기"", ""캐릭터"", ""기다리기"", ""말하기""]",교학사,,https://playentry.org/course/5d9445ba8c76cf38f71b6102
5d9445bb8c76cf38f71b6104,묻고 답하기 프로그램,자리에 앉아 서로에게 자신을 소개하는 엔트리봇과 짝꿍,입력받은 자료를 절차대로 처리하고 처리한 결과를 출력하는 프로그램을 설계할 수 있다.,"[""움직이기"", ""캐릭터"", ""기다리기"", ""말하기"", ""대답"", ""입력하기""]",교학사,,https://playentry.org/course/5d9445bb8c76cf38f71b6104
5d9445bb8c76cf38f71b6106,계산기 프로그램,수학 시간에 계산 능력을 보여주는 엔트리봇과 놀라는 선생님,,"[""캐릭터"", ""기다리기"", ""말하기"", ""변수"", ""대답"", ""입력"" ""더하기"", ""수학""]",교학사,,https://playentry.org/course/5d9445bb8c76cf38f71b6106
5d9445bb8c76cf38f71b6108,두 개의 낱말 연결하기,쉬는 시간에 엔트리봇에게 새로운 친구를 소개해주는 짝꿍,자료를 입력하고 필요한 처리를 수행한 후 결과를 출력하는 프로그램을 설계할 수 있다.,"[""캐릭터"", ""이름"", ""질문"", ""대답"", ""색깔"", ""연결"", ""문장"", ""말하기""]",교학사,,https://playentry.org/course/5d9445bb8c76cf38f71b6108
5d9445bb8c76cf38f71b610a,순차 구조 프로그래밍,청소 시간에 고장난 로봇 청소기를 고치는 엔트리봇,순차의 프로그래밍 구조를 이해하여 나만의 프로그램을 만들 수 있다.,"[""이동하기"", ""그리기"", ""색"", ""방향"", ""회전하기""]",교학사,,https://playentry.org/course/5d9445bb8c76cf38f71b610a
5d9445bb8c76cf38f71b610c,반복 구조 프로그래밍,교실 바닥을 청소 중인 로봇 청소기를 바라보는 엔트리봇,반복의 프로그래밍 구조를 이해하여 나만의 프로그램을 만들 수 있다.,"[""이동하기"", ""방향"", ""그리기"", ""반복"", ""기다리기"", ""회전하기""]",교학사,,https://playentry.org/course/5d9445bb8c76cf38f71b610c
5d9445bb8c76cf38f71b610e,선택 구조 프로그래밍,교실 벽에 부딪혀 멈춰 있는 로봇 청소기와 고민하는 엔트리봇,선택의 프로그래밍 구조를 이해하여 나만의 프로그램을 만들 수 있다.,"[""이동방향"", ""정하기"", ""그리기"", ""색"", ""굵기"", ""반복하기"", ""움직이기"", ""만약"", ""만일"", ""조건"", ""닿기"", ""회전하기"" ]",교학사,,https://playentry.org/course/5d9445bb8c76cf38f71b610e
5d94487cd006b428a01de1b5,프로그래밍 체험하기,자신의 장래희망(피겨 선수)을 떠올리고 있는 소녀,프로그래밍 도구를 사용하여 기초적인 프로그래밍을 체험할 수 있습니다.,"[""캐릭터"", ""말하기"", ""크기"", ""바꾸기""]",금성출판사,,https://playentry.org/course/5d94487cd006b428a01de1b5
5d94487cd006b428a01de1b7,두 수를 더하는 프로그램,"자기 차례를 마치고, 떨리는 마음으로 점수판을 바라보는 소녀",두 수를 더하는 프로그램을 창의적으로 만들어 봄으로써 입력•처리•출력 과정을 이해할 수 있습니다.,"[""입력하기"", ""질문하기"", ""대답"", ""더하기"", ""수학"", ""연산"", ""말하기""]",금성출판사,,https://playentry.org/course/5d94487cd006b428a01de1b7
5d94487cd006b428a01de1b9,피겨 선수를 만나는 프로그램,가장 좋아하는 피겨 선수를 만나게 되어 기뻐하는 소녀,피겨 선수를 만나는 프로그램을 창의적으로 만들어 봄으로써 순차 구조를 이해할 수 있습니다.,"[""말하기"", ""움직이기"", ""이동"", ""소리"", ""재생하기"", ""기다리기"", ""효과"", ""색깔""]",금성출판사,,https://playentry.org/course/5d94487cd006b428a01de1b9
